user_name,date,text,clean_text,sentiment,sentiment_score
David García Casado,2021-02-07 11:49:16,I have enough hate for both 😜 #CovidVaccine #NYTimes #SoulCycle https://t.co/hk4qSWUd5T,i have enough hate for both covidvaccine nytimes soulcycle https t co hk4qswud5t,1 star,1
VaxBLR,2022-02-09 08:30:18,"18-44 #URBAN #Bengaluru #CovidVaccine Availability for 09/02 at 02:00PM
FREE Slots 
#COVISHIELD - Dose1:0, Dose2:2
PAID Slots 
#COVISHIELD - Dose1:862, Dose2:20
#SPUTNIKV - Dose1:30, Dose2:7",18 44 urban bengaluru covidvaccine availability for 09 02 at 02 00pm free slots covishield dose1 0 dose2 2 paid slots covishield dose1 862 dose2 20 sputnikv dose1 30 dose2 7,1 star,1
Wolves Council,2022-04-04 10:20:35,"Planning to grab your #Covid-19 jab this week? Here's where and when you can get it. Each clinic offers first, second and booster vaccinations, though age ranges vary. 

For more information, please click https://t.co/wkjqsNEpzu #CovidVaccine https://t.co/9Ex482Xx2S",planning to grab your covid 19 jab this week here s where and when you can get it each clinic offers first second and booster vaccinations though age ranges vary for more information please click https t co wkjqsnepzu covidvaccine https t co 9ex482xx2s,4 stars,4
iCandy,2021-10-23 00:51:32,Grown-ass men afraid of a #vaccine whilst us girls have been risking our lives once a month since we were 12 years old. #youdothemath #doyouevencare #CovidVaccine https://t.co/hEJuk9u4Bn,grown ass men afraid of a vaccine whilst us girls have been risking our lives once a month since we were 12 years old youdothemath doyouevencare covidvaccine https t co hejuk9u4bn,1 star,1
"G Roberts ""You Know The Thing""",2020-11-09 20:51:25,Joe Biden IS NOT YET PRESIDENT. Keep that in mind. It ain't over until it's over. Remember it took 37 days for the… https://t.co/i3CxKpxSJW,joe biden is not yet president keep that in mind it ain t over until it s over remember it took 37 days for the https t co i3cxkpxsjw,1 star,1
Killer Oatmeal,2021-12-23 18:53:12,Of course I'll take your vaccine. First please obtain permission from my dog. #CovidVaccine #VaccineMandate https://t.co/zFV6pkZO0n,of course i ll take your vaccine first please obtain permission from my dog covidvaccine vaccinemandate https t co zfv6pkzo0n,1 star,1
Andhravilas,2022-02-05 08:03:56,"Heavy snowfall thaws frozen memories of Simla https://t.co/KmBLHLTXrH #CovidVaccine #Breakingnews #Indiapolitics #AndhraPolitics #NewsFeed #coronavirusoutbreak #Telangana 

Shimla, Feb 5 - Heavy snowfall thawed the frozen memories of Simla -- the erstwhile capital of British I…",heavy snowfall thaws frozen memories of simla https t co kmblhltxrh covidvaccine breakingnews indiapolitics andhrapolitics newsfeed coronavirusoutbreak telangana shimla feb 5 heavy snowfall thawed the frozen memories of simla the erstwhile capital of british i,1 star,1
"Seed🇿🇦😀🇮🇪,",2021-07-24 05:39:04,"The ingredient called ""mRNA"" in the vaccine is so jam packed!!! That's what holds the Luciferice gene that is even more complex... So poor Christians who took the vaccine took the mark😞 #CovidVaccine #COVID19Vaccine https://t.co/BNm9RkrbJg",the ingredient called mrna in the vaccine is so jam packed that s what holds the luciferice gene that is even more complex so poor christians who took the vaccine took the mark covidvaccine covid19vaccine https t co bnm9rkrbjg,1 star,1
IC Agriculture Dept. & FFA,2021-01-30 01:52:54,Round 1 ✅ #COVIDvaccine 💉 https://t.co/UpAxtoC2Ul,round 1 covidvaccine https t co upaxtoc2ul,5 stars,5
Clive Welsh,2021-01-26 14:10:39,"More significant for @BorisJohnson @nadhimzahawi #CovidVaccine programme is the current use of cinemas, conference… https://t.co/RScu8tX81b",more significant for borisjohnson nadhimzahawi covidvaccine programme is the current use of cinemas conference https t co rscu8tx81b,4 stars,4
Colin Hughes,2021-08-20 12:07:13,@nat_forrest @10NewsFirstPER @10NewsFirstSyd @10NewsFirst Remember purpose of Christmas Island to health screen refugees for measles and other infectious diseases Yet because of @ScottMorrisonMP refusal to establish #FederalQuarantine we are at risk of more than #CovidVaccine Will all refugees be fully tested and vaccinated? #insiders,nat forrest 10newsfirstper 10newsfirstsyd 10newsfirst remember purpose of christmas island to health screen refugees for measles and other infectious diseases yet because of scottmorrisonmp refusal to establish federalquarantine we are at risk of more than covidvaccine will all refugees be fully tested and vaccinated insiders,1 star,1
IAS Association,2021-01-23 10:49:13,"Leading from the front, Sh Subhasish Panda, #IAS (HP:97) @Spanda3000, has been leading the fight against #COVID19 a… https://t.co/xJciwz711e",leading from the front sh subhasish panda ias hp 97 spanda3000 has been leading the fight against covid19 a https t co xjciwz711e,5 stars,5
VaxBLR,2021-12-12 03:30:25,"18-44 #BBMP #Bengaluru #CovidVaccine Availability for 12/12 at 09:00AM
FREE Slots 
#COVISHIELD - Dose1:3243, Dose2:2430
#COVAXIN - Dose1:1886, Dose2:2380
PAID Slots 
#COVISHIELD - Dose1:3146, Dose2:1542
#COVAXIN - Dose1:1708, Dose2:1688
#SPUTNIKV - Dose1:165, Dose2:67",18 44 bbmp bengaluru covidvaccine availability for 12 12 at 09 00am free slots covishield dose1 3243 dose2 2430 covaxin dose1 1886 dose2 2380 paid slots covishield dose1 3146 dose2 1542 covaxin dose1 1708 dose2 1688 sputnikv dose1 165 dose2 67,1 star,1
NHS Greenwich CCG,2021-07-26 08:44:41,"📢Walk-in #COVIDVaccine clinic in #Greenwich
 @WoolwichLNP,🗺️10 Woolwich New Rd, SE18 6AB 

💉AstraZeneca: 8am – 12pm (+40s)
💉Pfizer: Monday &amp; Tuesday between 1pm – 6pm (+18s)

👉1st &amp; 2nd doses (after 8 wks)
💙No proof of address, NHS number or immigration status https://t.co/zTFlPRghfI",walk in covidvaccine clinic in greenwich woolwichlnp 10 woolwich new rd se18 6ab astrazeneca 8am 12pm 40s pfizer monday amp tuesday between 1pm 6pm 18s 1st amp 2nd doses after 8 wks no proof of address nhs number or immigration status https t co ztflprghfi,1 star,1
NFT Chancer,2021-12-17 21:21:27,"Population reduction and control at the same time.

Lets see how many of the kids that are being forced to take this jab have kids in the future.

How can parents be so quick to push an untested #CovidVaccine on their children. https://t.co/zSC8FFhfJw",population reduction and control at the same time lets see how many of the kids that are being forced to take this jab have kids in the future how can parents be so quick to push an untested covidvaccine on their children https t co zsc8ffhfjw,5 stars,5
The English Post,2020-11-20 17:33:10,"PM reviews India’s vaccination strategy in key meeting 

#COVID19 #CovidVaccine 

https://t.co/aDqQ2V0iP1",pm reviews india s vaccination strategy in key meeting covid19 covidvaccine https t co adqq2v0ip1,5 stars,5
Sallee Uncensored,2022-02-12 15:50:47,"PREACH!!!!!  We need more doctors like this!!!  And for those still going with what the ""health authorities"" tell them......your day is coming!!!! 
#hippocraticoath #DoNoHarm #murder #COVID19 #FreedomConvoy2022 #CovidVaccine #InformedConsent #CDC #NIH #FDA #CrimesAgainstHumanity https://t.co/HnXSdokS4Z",preach we need more doctors like this and for those still going with what the health authorities tell them your day is coming hippocraticoath donoharm murder covid19 freedomconvoy2022 covidvaccine informedconsent cdc nih fda crimesagainsthumanity https t co hnxsdoks4z,1 star,1
Ann Tracy (Áine Ní Threasaigh),2022-02-05 17:22:22,"“If a 100-above-year-old man like me can feel perfectly fine, everyone should have the courage to take it (the vaccine).”

#CovidVaccine #GetVaccinated 
https://t.co/3mm3cp4gE2",if a 100 above year old man like me can feel perfectly fine everyone should have the courage to take it the vaccine covidvaccine getvaccinated https t co 3mm3cp4ge2,5 stars,5
Australian Vaccine Progress,2021-12-26 08:00:04,"▐   ▄▄▄▄▄▄▄▄▄▄▄
▐▓█████████▒░░═══
▐   ▀▀▀▀▀▀▀▀▀▀▀

Fully vaccinated as of 2021-12-25: 76.31 %

#CovidVaccine #COVID19 #COVID19Aus",fully vaccinated as of 2021 12 25 76 31 covidvaccine covid19 covid19aus,1 star,1
SeashoreMary,2021-12-27 02:20:46,3 Year Old Baby Dies Of Sudden Cardiac Arrest After Receiving #CovidVaccine  https://t.co/HOmA4QAXrY,3 year old baby dies of sudden cardiac arrest after receiving covidvaccine https t co homa4qaxry,1 star,1
Hines VA Hospital,2021-03-22 22:42:00,"For Veterans like Bill Erzig, the pandemic has been challenging. Restrictions on visitors and activities have been… https://t.co/Iyw9UJdEGV",for veterans like bill erzig the pandemic has been challenging restrictions on visitors and activities have been https t co iyw9ujdegv,3 stars,3
Bob - Fact Checker,2021-11-20 03:07:40,"They will all have a date set at the International Criminal Court for #CrimesAgainstHumanity 

#NurembergCode #NurembergTrialsForCovid 
#CovidVaccine 
The lies stated here by all of them are criminal.
👀⬇️ https://t.co/3RPG3jQphr",they will all have a date set at the international criminal court for crimesagainsthumanity nurembergcode nurembergtrialsforcovid covidvaccine the lies stated here by all of them are criminal https t co 3rpg3jqphr,1 star,1
Aregawi Hagos,2021-07-18 07:15:49,"When the rest of the world is distributing #CovidVaccine, #ChildrenOfTigray are starving by the millions with almost no medical care to save them from common illnesses. @USUN @UNHumanRights @G7 @NATO @Haavisto @JosepBorrellF @EU_Commission @SecBlinken @WFP",when the rest of the world is distributing covidvaccine childrenoftigray are starving by the millions with almost no medical care to save them from common illnesses usun unhumanrights g7 nato haavisto josepborrellf eu commission secblinken wfp,1 star,1
AsIF TaNoli,2021-02-01 19:25:22,#COVID19 #lockdown #CovidVaccine! oNE DAY 😢 #inshaAllah https://t.co/uRzDy6u22J,covid19 lockdown covidvaccine one day inshaallah https t co urzdy6u22j,1 star,1
Denise O'Berry💥Your Strategic Partner,2021-01-22 17:45:01,What a mess. Tracking is so important. I'm sure the Biden administration will get a handle on it. #CovidVaccine https://t.co/gCdYQw33kC,what a mess tracking is so important i m sure the biden administration will get a handle on it covidvaccine https t co gcdyqw33kc,1 star,1
ᴛʜᴇʟᴇғᴛᴄᴏᴀsᴛᴅᴀᴅ.ᴄᴏᴍ | #2A 🇺🇸,2021-08-22 20:01:47,"Wake up, people. It’s NEVER been about the virus you mindless sheep…

Vaccine Exemption Docs here: https://t.co/3QzdBk1lep

#BeInformedBeVigilantBeFree #military #COVID19Vaccine #NoVaccinePassports #CovidVaccine #Covid_19 #medicalfreedom",wake up people it s never been about the virus you mindless sheep vaccine exemption docs here https t co 3qzdbk1lep beinformedbevigilantbefree military covid19vaccine novaccinepassports covidvaccine covid 19 medicalfreedom,1 star,1
Lia Lando,2021-02-15 11:14:38,"Good Morning! @wnywxguy is tracking a sizable #WinterStorm 
Plus, more ppl eligible for #COVIDVaccine and a wild st… https://t.co/Ti3IOO6LCN",good morning wnywxguy is tracking a sizable winterstorm plus more ppl eligible for covidvaccine and a wild st https t co ti3ioo6lcn,5 stars,5
Sami Mae,2021-01-26 20:42:19,Twitter Buddies! Family friend in North #Norfolk is unable to get the #CovidVaccine through her GP... she is 85 and… https://t.co/qeJyczEfcH,twitter buddies family friend in north norfolk is unable to get the covidvaccine through her gp she is 85 and https t co qejyczefch,1 star,1
Michael,2021-02-01 13:56:40,"I'll take my chances with the big scary virus over injecting some half-assed tested vaccine into my arm! Oh wait, I… https://t.co/F3kER45V9Q",i ll take my chances with the big scary virus over injecting some half assed tested vaccine into my arm oh wait i https t co f3ker45v9q,1 star,1
Boudicca Silv3r_Mint,2020-09-23 17:51:00,"Nobody:

Me: 
Eating your boogers builds up covid immunities. It said it on the INTERNET.

Recipe: boogers , lemon… https://t.co/c487UXxYoK",nobody me eating your boogers builds up covid immunities it said it on the internet recipe boogers lemon https t co c487uxxyok,1 star,1
Jo_Yo 🇬🇧🇩🇪🇮🇳,2021-11-11 10:33:28,"https://t.co/54K0LgF0Kl

Are the injections being done correctly (with aspiration)? Could it be a reason for many of the serious side effects? 
#CovidVaccine #COVID19 #COVID",https t co 54k0lgf0kl are the injections being done correctly with aspiration could it be a reason for many of the serious side effects covidvaccine covid19 covid,3 stars,3
MEDIA INDIA GROUP,2021-02-08 03:22:33,#SouthAfrica suspends #VaccinationDrive &amp; stops @AstraZeneca #CovidVaccine after study shows 'limited' efficiency a… https://t.co/9H3MrnuS35,southafrica suspends vaccinationdrive amp stops astrazeneca covidvaccine after study shows limited efficiency a https t co 9h3mrnus35,1 star,1
Schuyler Putt,2021-02-19 13:02:22,"North Carolina #CovidVaccine update 11:59 PM 2/17/2021:

1st dose: 
💉 12.35% of population vaccinated (+0.21% per d… https://t.co/rlsfayxrIQ",north carolina covidvaccine update 11 59 pm 2 17 2021 1st dose 12 35 of population vaccinated 0 21 per d https t co rlsfayxriq,1 star,1
Chris McCann 🇺🇸,2021-02-12 22:45:21,This is what a good plan looks like! Hoping that we can all get vaccinated as soon as is possible. @POTUS #COVID19… https://t.co/rKWzNltP27,this is what a good plan looks like hoping that we can all get vaccinated as soon as is possible potus covid19 https t co rkwznltp27,5 stars,5
Josh,2022-01-12 13:20:12,"@DavguitarismDan @tithansi @Timcast Because without mandates, we still have asshats ""rejecting tyranny"" while clogging up ICUs all across America. The unvaccinated have needlessly become a massive strain and drain on our healthcare system.
#CovidVaccine #COVIDIOTS #VaccinesWork",davguitarismdan tithansi timcast because without mandates we still have asshats rejecting tyranny while clogging up icus all across america the unvaccinated have needlessly become a massive strain and drain on our healthcare system covidvaccine covidiots vaccineswork,1 star,1
Michelle Aronne,2021-10-14 21:22:38,"My body rn after getting the second dose yesterday

#CovidVaccine https://t.co/quiMHCrOeN",my body rn after getting the second dose yesterday covidvaccine https t co quimhcroen,5 stars,5
Sofía ‘La Ahijada del Matador’,2021-12-06 21:37:56,"Got my booster! (Pardon my lint-covered mask. Just came out of the wash.)
#covid19 #vaccine #covidbooster #covidvaccine #moderna https://t.co/P83sb51UgR",got my booster pardon my lint covered mask just came out of the wash covid19 vaccine covidbooster covidvaccine moderna https t co p83sb51ugr,1 star,1
Dr. Emily Keller,2021-08-04 19:58:04,"My MIL gave me the best #parenting advice when I started to have children: Love them. Protect them. Enjoy them. That’s all that matters. 

Over the years, I’ve learned just how right she was. 

#GetVaccinated 

Also: #covidvaccine falls under the #goldenrule #lovethyneighbor",my mil gave me the best parenting advice when i started to have children love them protect them enjoy them that s all that matters over the years i ve learned just how right she was getvaccinated also covidvaccine falls under the goldenrule lovethyneighbor,5 stars,5
Chris Buckley🙂,2020-12-28 17:52:21,"Excellent work, Gaz!... #HYDE do you know why the #uk's first drive through #CovidVaccine centre has been closed wi… https://t.co/uDI3bEFDrq",excellent work gaz hyde do you know why the uk s first drive through covidvaccine centre has been closed wi https t co udi3befdrq,5 stars,5
Faysal ElKak فيصل القاق,2021-03-19 16:55:20,GREAT NEWS First Baby Born With #COVID #Antibodies After Mom Got the Moderna Vaccine | https://t.co/zB5ddpmjGz… https://t.co/3EiytLRVh5,great news first baby born with covid antibodies after mom got the moderna vaccine https t co zb5ddpmjgz https t co 3eiytlrvh5,5 stars,5
Phantomcamel,2021-03-12 09:24:10,Great to see #Qantas to be on the forefront trying to work on digital recognition of COVID immunization certificati… https://t.co/p1vub9hd2Y,great to see qantas to be on the forefront trying to work on digital recognition of covid immunization certificati https t co p1vub9hd2y,5 stars,5
ARC England,2021-02-04 09:31:01,"👀 Watch this!
Clear information video about vaccines for people with a learning disability
#socialcare… https://t.co/GphOpcO7iO",watch this clear information video about vaccines for people with a learning disability socialcare https t co gphopco7io,5 stars,5
VaxBLR,2021-08-19 01:30:25,"18-44 #BBMP #Bengaluru #CovidVaccine Availability for 19/08 at 07:00AM
FREE Slots 0
PAID Slots 
#COVISHIELD - Dose1:10713, Dose2:6193
#COVAXIN - Dose1:6455, Dose2:6109
#SPUTNIKV - Dose1:0, Dose2:138",18 44 bbmp bengaluru covidvaccine availability for 19 08 at 07 00am free slots 0 paid slots covishield dose1 10713 dose2 6193 covaxin dose1 6455 dose2 6109 sputnikv dose1 0 dose2 138,1 star,1
Farieda Khan,2021-01-22 07:40:37,"@eNCA Thanks, but #SAfns already KNOW #Covid19 is often fatal, #Duarte: It's your incompetent #ANCDeployees in Govt… https://t.co/RhBREgbcJw",enca thanks but safns already know covid19 is often fatal duarte it s your incompetent ancdeployees in govt https t co rhbregbcjw,1 star,1
VaxBLR,2022-04-30 05:30:26,"18-44 #BBMP #Bengaluru #CovidVaccine Availability for 30/04 at 11:00AM
FREE Slots 
#COVISHIELD - Dose1:1102, Dose2:114
#COVAXIN - Dose1:13, Dose2:19
PAID Slots 
#COVISHIELD - Dose1:2978, Dose2:19
#COVAXIN - Dose1:10, Dose2:10
#SPUTNIKV - Dose1:10, Dose2:1000",18 44 bbmp bengaluru covidvaccine availability for 30 04 at 11 00am free slots covishield dose1 1102 dose2 114 covaxin dose1 13 dose2 19 paid slots covishield dose1 2978 dose2 19 covaxin dose1 10 dose2 10 sputnikv dose1 10 dose2 1000,1 star,1
Victoria Baglione,2021-07-01 21:44:51,#CovidVaccine my first shot my period was five days early and now my second shot my period is now 12 days early #menstrualchange #PfizerVaccine #modernavaccine,covidvaccine my first shot my period was five days early and now my second shot my period is now 12 days early menstrualchange pfizervaccine modernavaccine,1 star,1
Raymond Clifford💎,2021-01-31 15:56:10,Joseph Wambaugh wrote in one of his novels that the reason cops catch crooks is that except for the BADJES and WEAP… https://t.co/KvgGTxajqQ,joseph wambaugh wrote in one of his novels that the reason cops catch crooks is that except for the badjes and weap https t co kvggtxajqq,1 star,1
VaxBLR,2021-08-02 04:30:25,"18-44 #BBMP #Bengaluru #CovidVaccine Availability for 02/08 at 10:00AM
FREE Slots 
#COVISHIELD - Dose1:0, Dose2:1
PAID Slots 
#COVISHIELD - Dose1:8371, Dose2:5420
#COVAXIN - Dose1:5883, Dose2:5398
#SPUTNIKV - Dose1:230, Dose2:307",18 44 bbmp bengaluru covidvaccine availability for 02 08 at 10 00am free slots covishield dose1 0 dose2 1 paid slots covishield dose1 8371 dose2 5420 covaxin dose1 5883 dose2 5398 sputnikv dose1 230 dose2 307,1 star,1
Avalance Tessla,2021-08-09 11:57:00,#Melaka #tourismrecovery #Malaysia #CovidVaccine Ok done!! Thank God both jab does not shown bad side effect on me... https://t.co/yjtGQ7Wlkm,melaka tourismrecovery malaysia covidvaccine ok done thank god both jab does not shown bad side effect on me https t co yjtgq7wlkm,3 stars,3
Bnar Talabani,2021-12-10 12:31:22,Thank you @EvanHD for inviting me onto @BBCPM yesterday to discuss the work I have been doing with @projecthalo to combat #CovidVaccine myths. #COVID #CovidPlanB,thank you evanhd for inviting me onto bbcpm yesterday to discuss the work i have been doing with projecthalo to combat covidvaccine myths covid covidplanb,5 stars,5
Fierce Sword of Compassion,2021-08-16 21:14:49,"My oldest son turned 12 yesterday.

Got his #CovidVaccine today.

Damn straight he did. https://t.co/dLLpHtbLFB",my oldest son turned 12 yesterday got his covidvaccine today damn straight he did https t co dllphtblfb,1 star,1
pat,2021-10-19 17:35:50,"Is Kyrie playing tonight against the bucks??

#NetsBucks
#CovidVaccine",is kyrie playing tonight against the bucks netsbucks covidvaccine,5 stars,5
Gary Rikard,2022-01-11 20:03:33,"#CovidVaccine #OmicronVariant #SARSCoV2 60,000+ students and teachers test positive this week for Covid. https://t.co/8valJInQDS",covidvaccine omicronvariant sarscov2 60 000 students and teachers test positive this week for covid https t co 8valjinqds,5 stars,5
Snap! crackle! pop! Gene/CRISPRs!🧬,2021-01-25 16:18:11,"🦠📈💉🩹📉
Goal to supply more low-dead-space needles for extra vaccine doses can't be met, yet another wall for faster… https://t.co/TOCoztw8X9",goal to supply more low dead space needles for extra vaccine doses can t be met yet another wall for faster https t co tocoztw8x9,5 stars,5
"Ed Mariano, MD 🇺🇸",2021-01-15 14:57:10,"1 wk since I got my full dose of internal PPE! No side effects at all 😁

Still have to #WearAMask and #StayAtHome b… https://t.co/qb5cU92zhs",1 wk since i got my full dose of internal ppe no side effects at all still have to wearamask and stayathome b https t co qb5cu92zhs,1 star,1
UKTIS bumps,2022-01-12 08:58:36,A really helpful decision aid from @RCObsGyn about #CovidVaccine https://t.co/TTEQ9hGJ3L,a really helpful decision aid from rcobsgyn about covidvaccine https t co tteq9hgj3l,5 stars,5
ActivistBowen: FULLY VAXXED + BOOSTED!,2022-01-21 11:54:03,"b) also INTERESTING. ONLY PFIZER was mentioned today. surely, we'll hear re CHINESE SINOPHARM/SINOVAC in near future because carrie LAME/lam is OBSESSED (January 22, 2022; 5:35 HKT) #covid19VACCINATION #covidVACCINATION #coronaVACCINE #covidVACCINE #CHILDREN #HONGKONG #KIDS #HK",b also interesting only pfizer was mentioned today surely we ll hear re chinese sinopharm sinovac in near future because carrie lame lam is obsessed january 22 2022 5 35 hkt covid19vaccination covidvaccination coronavaccine covidvaccine children hongkong kids hk,3 stars,3
Nisha & Vasu,2021-04-09 04:41:44,"Even tho I have comorbidity, couldn't go earlier for vaccination. Now, I can go but there's no vaccine available! E… https://t.co/uQCnAXayLA",even tho i have comorbidity couldn t go earlier for vaccination now i can go but there s no vaccine available e https t co uqcnaxayla,1 star,1
Quratulain Syed,2021-03-24 01:37:21,"Assisting my older patients living in underserved areas of ATL to get #CovidVaccine, I learn that: 1) NONE of the m… https://t.co/0o5rGBNBX6",assisting my older patients living in underserved areas of atl to get covidvaccine i learn that 1 none of the m https t co 0o5rgbnbx6,4 stars,4
Kelly Hills,2021-02-24 23:47:10,"OR, curveball: the J&amp;J #covidvaccine is less effective at preventing disease than the mRNA vaccines under EUA…but p… https://t.co/ug4qPKlmcI",or curveball the j amp j covidvaccine is less effective at preventing disease than the mrna vaccines under eua but p https t co ug4qpklmci,3 stars,3
Andhravilas,2022-02-25 14:38:38,"Film showing circumstances of underprivileged women not impermissible: SC https://t.co/LHc71yEGC5 #breakingnews #Breakingnews #Indiapolitics #AndhraPolitics #NewsFeed #BheemlaNaik #CovidVaccine #KCR 

New Delhi, Feb 25 - The Supreme Court observed that a film that carries a me…",film showing circumstances of underprivileged women not impermissible sc https t co lhc71yegc5 breakingnews breakingnews indiapolitics andhrapolitics newsfeed bheemlanaik covidvaccine kcr new delhi feb 25 the supreme court observed that a film that carries a me,1 star,1
Silent Majority,2021-12-04 16:31:55,"#Canada trialling covid jab on babies! Sick! #CovidVaccine 

https://t.co/AnOYOyeoLH https://t.co/GvCe8UqYrI",canada trialling covid jab on babies sick covidvaccine https t co anoyoyeolh https t co gvce8uqyri,1 star,1
Matt 🇺🇸🇮🇪,2021-08-04 00:01:25,@KingJames imagine the impact you could have on promoting the #CovidVaccine,kingjames imagine the impact you could have on promoting the covidvaccine,5 stars,5
Marianne Ho,2021-02-17 08:59:10,@elisaslow Absolutely heartbreaking to hear what long haulers like Kaitlin Denis is going through. We need more inf… https://t.co/za376wMjWP,elisaslow absolutely heartbreaking to hear what long haulers like kaitlin denis is going through we need more inf https t co za376wmjwp,1 star,1
Virtual Docs Online,2022-01-24 18:00:45,"Do you want to know if you should have a COVID-19 booster shot after your vaccination? Check out this page for some useful information -https://t.co/95cPMC5Hhz.

Original source link: https://t.co/JWceX7w3Vc

#telemedicine #virtualdoctors #COVID-19 #covidvaccine
#boostershots https://t.co/siIIy3V9Jj",do you want to know if you should have a covid 19 booster shot after your vaccination check out this page for some useful information https t co 95cpmc5hhz original source link https t co jwcex7w3vc telemedicine virtualdoctors covid 19 covidvaccine boostershots https t co siiiy3v9jj,3 stars,3
Dr Gaby Wolferink 🏡💚,2021-05-25 08:05:25,"One down... 💉

#CovidVaccine https://t.co/c1JIKszMGE",one down covidvaccine https t co c1jikszmge,1 star,1
Dr. Helen Wall,2021-12-24 00:01:17,2/years as a dr have taught me most humans often find uncertainty or new things   #anxiety provoking to some degree. #COVID19 and #covidvaccine are all of these things in some measure &amp; patients will go a long way to find a clinic that aren’t  reassuring it’s ok to feel #anxious,2 years as a dr have taught me most humans often find uncertainty or new things anxiety provoking to some degree covid19 and covidvaccine are all of these things in some measure amp patients will go a long way to find a clinic that aren t reassuring it s ok to feel anxious,3 stars,3
Cullen,2022-06-07 21:44:59,"Exercising For This Long Can Improve Vaccine Effectiveness, New Study Says

#news #wellness #covidvaccine #mentalhealth #science
https://t.co/ClxaJWvlSN",exercising for this long can improve vaccine effectiveness new study says news wellness covidvaccine mentalhealth science https t co clxajwvlsn,5 stars,5
Jake Zeleny,2021-03-22 10:42:12,@AstraZeneca at it again with a PR campaign of statistics which only tell half the story (which is what they do bes… https://t.co/cPRJsU5uD4,astrazeneca at it again with a pr campaign of statistics which only tell half the story which is what they do bes https t co cprjsu5ud4,2 stars,2
